name,grupo,sub_grupo
08DES0002G,10,1
08DES0055L,10,1
08DST0031U,10,1
08DST0053F,10,1
08DST0066J,10,1
08EES0074Z,10,1
08EES0183F,10,1
08EES0192N,10,1
08PES0202J,10,1
08PES0240M,10,1
10DTV0127H,10,1
08PST0001E,10,1
08ETV0094S,10,1
10ETV0127H,10,1
10DES0016Y,10,2
10DST0012U,10,2
10DST0037C,10,2
10ETV0191I,10,2
10DES0024G,10,3
10DST0022A,10,3
10ETV0126I,10,3
10ETV0129F,10,3
10ETV0131U,10,3
10DTV0524G,10,4
10ETV0524G,10,4
08DES0005D,10,5
08DES0013M,10,5
08EES0197I,10,5
08EES0179T,10,5
08ETV0100M,10,5
08DTV0051V,10,6
08EES0122S,10,6
08ETV0004J,10,6
08DES0006C,10,7
08DES0037W,10,7
08DES0057J,10,7
08DST0004X,10,7
08DST0016B,10,7
08EES0025Q,10,7
08ETV0012S,10,7
08ETV0163Y,10,7
08PES0146H,10,7
