name,grupo,sub_grupo
25DES0007S,46,1
25DST0099R,46,1
25EES0047S,46,1
25EES0075O,46,1
25EES0182X,46,1
25DES0008R,46,2
25DES0045V,46,2
25DST0050Z,46,2
25DST0082R,46,2
25PES0136R,46,2
25DES0014B,46,3
25DST0042Q,46,3
25DTV0309T,46,3
25DTV0329G,46,3
25EES0139I,46,3
25EES0174O,46,3
25PES0010K,46,3
25EES0169C,46,3
25DES0017Z,46,4
25DST0076G,46,4
25EES0067F,46,4
25EES0159W,46,4
25DES0019X,46,5
25PES0105Y,46,5
25DES0020M,46,6
25DST0078E,46,6
25DST0088L,46,6
25EES0029C,46,6
25EES0048R,46,6
25PES0116D,46,6
25EES0083X,46,6
25DES0021L,46,7
25DTV0014H,46,7
25DTV0021R,46,7
25DTV0093K,46,7
25DES0027F,46,8
25DES0059Y,46,8
25DST0022C,46,8
25EES0012C,46,8
25EES0014A,46,8
25EES0087T,46,8
25EES0138J,46,8
25DES0029D,46,9
25DST0015T,46,9
25DST0032J,46,9
25DTV0155G,46,9
25EES0105S,46,9
25DTV0180F,46,9
25DST0098S,46,9
25DTV0266L,46,9
25DES0052E,46,10
25DTV0296F,46,10
25EES0173P,46,10
25DST0001Q,46,11
25DST0019P,46,11
25DST0095V,46,11
25EES0041Y,46,11
25PES0018C,46,11
25PES0120Q,46,11
25DST0074I,46,11
25DTV0117D,46,11
25DST0011X,46,12
25DST0087M,46,12
25DST0014U,46,13
25DTV0122P,46,13
25DST0085O,46,13
25DTV0176T,46,13
25DTV0291K,46,13
25EES0021K,46,13
25DST0041R,46,14
25DTV0061S,46,14
25DST0043P,46,15
25DST0075H,46,15
25DST0051Y,46,16
25DST0100Q,46,16
25DTV0257D,46,16
25DTV0314E,46,16
25DZS0005G,46,16
25DZS0011R,46,16
25EES0204S,46,16
25DST0061E,46,17
25EES0013B,46,17
25DST0062D,46,18
25DTV0225L,46,18
25EES0051E,46,18
25PES0112H,46,18
25EES0085V,46,18
25PES0146Y,46,18
25DST0067Z,46,19
25EES0043W,46,19
25EES0074P,46,19
25DTV0051L,46,19
25DST0070M,46,20
25DTV0232V,46,20
25DST0083Q,46,21
25DST0094W,46,21
25DST0093X,46,22
25EES0040Z,46,22
25EES0071S,46,22
25PES0519X,46,22
25DTV0094J,46,23
25DTV0219A,46,23
25EES0140Y,46,23
25DTV0313F,46,24
25EES0090G,46,24
25DTV0317B,46,25
25EES0155Z,46,25
25DTV0324L,46,26
25EES0160L,46,26
25DTV0333T,46,27
25EES0203T,46,27
25EES0042X,46,28
25EES0077M,46,28
25EES0044V,46,29
25EES0046T,46,29
25EST0024Z,46,29
25EST0033H,46,29
25PST0018V,46,29
25EES0045U,46,30
25EES0072R,46,30
25EES0130R,46,30
25EES0052D,46,31
25EES0224F,46,31
25EES0055A,46,32
25EES0222H,46,32
25EES0119V,46,33
25PST0006Q,46,33
25PES0012I,46,34
25PES0022P,46,34
25PES0025M,46,34
25PES0035T,46,34
25PES0072X,46,34
25PES0081E,46,34
25PES0094I,46,34
25PES0098E,46,34
25PES0148W,46,34
25PES0130X,46,34
25PES0526G,46,34
25PES0304X,46,34
25PES0037R,46,35
25PES0056F,46,35
25PES0140D,46,35
25PES0156E,46,35
25PES0104Z,46,36
25PES0109U,46,36
25PES0117C,46,37
25PES0121P,46,37
25PES0141C,46,37
25PES0122O,46,38
25PES0142B,46,38
25PES0124M,46,39
25PES0145Z,46,39
25PES0520M,46,39
