name,grupo,sub_grupo
12DES0017V,539,1
12DES0057W,539,1
12DST0005I,539,1
12DST0152S,539,1
12DST0215N,539,1
12DES0208L,539,1
12EST0001L,539,1
12DES0146P,539,1
12DES0031O,539,2
12DES0034L,539,2
12DST0151T,539,2
12PES0160N,539,2
12PES0050H,539,2
12PES0179L,539,2
12DES0026C,539,3
12DES0079H,539,3
12DES0163F,539,3
12DES0172N,539,3
12DES0204P,539,3
12DES0211Z,539,3
12DES0212Y,539,3
12DST0112R,539,3
12PES0054D,539,3
12DST0211R,539,3
12PES0036O,539,3
12PES0137M,539,3
12DST0258L,539,3
12DES0036J,539,4
12DES0047P,539,4
12DES0175K,539,4
12PES0076P,539,4
12DST0212Q,539,4
12PES0183Y,539,4
12DES0202R,539,5
12DST0015P,539,5
12DST0086J,539,5
12EES0006O,539,5
12DST0171G,539,6
12DST0235A,539,6
12DES0037I,539,7
12DES0099V,539,7
12DES0154Y,539,7
12DST0077B,539,7
12DST0219J,539,7
12DST0280N,539,7
12DES0227Z,539,7
12DST0113Q,539,7
12DST0123X,539,7
12DST0153R,539,7
12DST0245H,539,7
12DES0032N,539,8
12DES0040W,539,8
12DST0029S,539,8
12DST0101L,539,8
12DST0253Q,539,8
12DST0118L,539,8
12DST0155P,539,8
12PES0164J,539,8
12PES0173R,539,8
12DST0001M,539,9
12PES0006U,539,9
12PES0007T,539,9
12PES0040A,539,9
12PES0143X,539,9
12PES0152E,539,9
12PES0010G,539,9
12PES0182Z,539,9
12PES0011F,539,9
12PES0109Q,539,9
12PST0002Q,539,9
12PES0151F,539,9
12PES0107S,539,10
12PES0161M,539,10
