name,grupo,sub_grupo
08DES0018H,12,1
08DST0051H,12,1
08DST0065K,12,1
08EES0110N,12,1
08EES0194L,12,1
08PES0012S,12,1
08PES0247F,12,1
08PST0024P,12,1
08DES0026Q,12,2
08ETV0135B,12,2
08SES0002I,12,2
08SES0030E,12,2
08DES0035Y,12,3
08ETV0200L,12,3
08DES0039U,12,4
08DST0009S,12,4
08DST0059Z,12,4
08DES0059H,12,4
08DTV0108F,12,4
08ETV0089G,12,4
08PES0228R,12,4
08DTV0176C,12,4
08ETV0125V,12,4
08DTV0072H,12,4
08ETV0144J,12,4
08DES0056K,12,5
08ETV0120Z,12,5
08DES0058I,12,6
08ETV0071H,12,6
08ETV0072G,12,6
08DES0063U,12,7
08DES0086E,12,7
08DST0007U,12,7
08EES0114J,12,7
08ETV0059M,12,7
08ETV0060B,12,7
08DES0064T,12,8
08DES0068P,12,8
08DTV0031H,12,8
08DTV0039Z,12,8
08DTV0118M,12,8
08DES0079V,12,9
08DST0022M,12,9
08PES0101L,12,9
08DES0088C,12,10
08DST0085Y,12,10
08DTV0156P,12,10
08DES0092P,12,11
08DSN0005L,12,11
08DST0005W,12,11
08DST0067I,12,11
08ETV0042M,12,11
08DST0026I,12,12
08DTV0009F,12,12
08PES0216M,12,12
08PES0239X,12,12
08SES0019I,12,12
08DTV0012T,12,12
08DST0027H,12,13
08SES0032C,12,13
08DST0039M,12,14
08ETV0075D,12,14
08SES0003H,12,14
08DST0076Q,12,15
08DST0087W,12,15
08DTV0185K,12,15
08PES0004J,12,15
08DTV0134D,12,16
08DTV0135C,12,16
08SES0021X,12,16
08DTV0157O,12,17
08ETV0162Z,12,17
08PTB0001E,12,17
08EES0187B,12,18
08ETV0115O,12,18
08ETV0028T,12,19
08ETV0121Z,12,19
08SES0009B,12,19
08PES0084L,12,20
08PES0293R,12,20
08PST0009X,12,21
08SES0001J,12,21
